id,name,name_en,keywords,image_filename,guidance,chakra,description,sku,usage_tags,dilution_guide,pillar,doctor_advice,capacity,price_member,price_retail,price
51,肉桂,Cinnamon,赤火暖陽・真情湧動・破除冷寂,cinnamon.jpg,傾聽心房最深處細微的脈動，所有的溫暖皆源自於無私的給予。先愛護自己，熱情自如薪火相傳，照亮四方。,太陽神經叢、心輪,對應海底輪與太陽神經叢。濃郁甘甜的熾熱木皮香，如寒冬圍爐的熾熱篝火，融化內在孤冷與自卑，重燃活力。,30030302,薰香、塗抹、內服,稀釋,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛甘大熱，入腎脾心經。溫通經脈，助陽散寒，喚醒生機。主溫中行氣。,5ml,1050,1400,1400
52,丁香,Clove,古殿立柱・界線明晰・金石之志,clove.jpg,放下恐懼與自我懷疑的包袱，以澄明之目迎接境遇的轉變。堅定守住真淳本心，天地自會回饋最深厚的恩澤。,海底輪、太陽神經叢,對應海底輪與太陽神經叢。強烈的辛香防護屏障，驅散外在環境侵擾與依附執念，重塑金石般不可撼動的界線。,30040302,薰香、塗抹、內服,稀釋,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛溫，入脾胃腎經。溫中降逆，散寒止滯，固護氣場。主溫陽防禦。,15ml,650,870,870
53,胡荽,Coriander,和煦溫暖・中焦調暢・歡喜流動,coriander.jpg,給予與接納，本是同一個圓弧的兩端。在每一次真誠的交流裡，生命正在溫暖地流轉生息。,太陽神經叢、心輪,對應太陽神經叢與心輪，氣味清新微甜，帶有淡淡辛香與依戀意象，具有釋放焦慮舒緩神經與涼意，具重建內在節奏的效果。,30780302,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛溫，入脾胃經。調養中焦，溫潤通達，安撫肚腹。主溫通行氣。,15ml,980,1310,1310
54,佛手柑,Bergamot,夕陽微金・疏肝解憂・悅納缺憾,bergamot.jpg,即便是晦暗低谷的經歷，亦藏有生命最珍貴的玉露。凝視恐懼的源頭，你將在不完美的裂縫中，見證微光傾瀉。,心輪、太陽神經叢,對應心輪與太陽神經叢。柑橘甘甜與花香微苦融和如義大利夕照，化解挫敗苦澀，撫慰受傷自尊，找回開懷笑容。,30790302,薰香、塗抹、內服,敏感,中柱 (Balance),位格：中柱。自然醫學建議：性味甘辛苦平，入肝脾經。疏肝理氣，和胃止嘔，安撫焦慮。主調和情志。,15ml,1200,1600,1600
55,薑,Ginger,暖土深藏・拔足前行・豪情重燃,ginger.jpg,從過往跌宕的磨礪中汲取底蘊，佐以清醒的勇氣。生命的成就從不在於終點，而在於每一步篤定自如的行進。,海底輪、太陽神經叢,對應海底輪與太陽神經叢。辛辣溫熱直入丹田，化解遲疑與怯步，如春回大地萬物萌動，推動意志穩健向前。,31630402,薰香、塗抹、內服,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛溫，入脾胃肺經。溫中散寒，回陽通脈，溫運中焦。主溫陽升發。,15ml,1250,1670,1670
56,局部潔膚複方,Topical Blend,清泉拂面・滌淨塵瑕・晶瑩守真,topical-blend.jpg,當迷霧阻礙前路時，讓磨礪洗去鉛華。沉澱下來守護本真，純淨的心神自會如晨露洗淨的青石般瑩潤透徹。,,對應喉輪與海底輪。茶樹、尤加利與草本精純萃取，如山泉細流輕撫肌理，撫平躁動瑕疵，重現自然潔淨光彩。,(待補),塗抹,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛涼，入肺經。清潤肌膚，化解滯濁瑕疵。主防護收斂。,10ml 滾珠,820,1095,1095
57,藍艾菊,Blue Tansy,琉璃深藍・柔順化剛・平息焦躁,blue-tansy.jpg,遭遇阻礙之時，如水順應溝壑而行，毋須以剛相抗。以柔克剛的從容，方能生出綿長無盡的內在深力。,喉輪、心輪,對應喉輪與眉心輪。深邃靛藍如夜空沉靜，甜美草本之香撫平暴躁怒火與焦灼抗拒，帶來平靜如鏡的心境。,60204088,薰香、塗抹,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味苦寒，入肝經。清熱涼血，平熄內火，安撫身心過度反應。主平息肝火。,5ml,3450,4600,4600
58,消化複方,Digestive Blend,中焦和潤・順暢運化・心懷坦蕩,digestive-blend.jpg,放慢急促的思緒，讓每段經歷如甘露細細消化。在從容的當下裡品味真實，生活原本自帶甘美與厚度。,,對應太陽神經叢。茴香、生薑與薄荷默契交融，如春風溫撫胃腑，化解心靈無法消化的鬱悶壓力，通達順暢。,31030302,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛甘溫，入脾胃經。溫中理氣，和胃健脾，疏通腹氣。主溫中行氣。,15ml,1420,1890,1890
59,廣藿香,Patchouli,厚德載物・回歸泥土・踏實安歇,patchouli.jpg,當外在奔波使心神渙散之際，歸於踏實的泥土芬芳。安住於眼前的一磚一瓦，心懷厚德，善緣自然相應匯聚。,海底輪、臍輪,對應海底輪。醇厚深沉的泥土麝香，如古木盤根沃土，將漂浮懸空的焦慮拽回大地，帶來無比厚實的安全感。,30890302,薰香、塗抹、內服,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛微溫，入脾胃肺經。化濕和中，收攝散亂，安定神思。主鎮靜收斂。,15ml,1280,1710,1710
60,伊蘭伊蘭,Ylang Ylang,南洋月色・真純綻放・歡欣釋放,ylang-ylang.jpg,深層的心靈潛能，在全然放鬆與信賴中方得舒展。卸下厚重的武裝，任靈感如夜來香氣自然自四面奔湧而來。,心輪、臍輪,對應心輪與臍輪。濃郁熱烈的異國花香，融化深藏的恐懼與自責，喚醒深層歡愉、熱愛生命與如實綻放的靈魂。,30240302,薰香、塗抹、內服,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味辛甘溫，入心肝經。清解心火，舒緩過度緊張，撫慰悸動。主調和情志。,15ml,1600,2135,2135
61,荳蔻,Cardamom,辛甘微暖・心意開闊・通暢胸懷,cardamom.jpg,順應內心至誠的指引，走入真實自足的生活。在每一次心懷敬畏的凝視裡，天地萬物皆在為你無聲慶讚。,喉輪、太陽神經叢,對應太陽神經叢與喉輪。高雅清甜的溫暖辛香，化解心胸狹隘與焦慮憤懣，使思維豁達開朗，心胸浩然。,49350302,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛溫，入脾胃肺經。行氣化濕，溫中和胃，宣通胸中滯塞。主溫通行氣。,5ml,1150,1535,1535
62,煥膚複方,Anti-aging Blend,凝脂韶華・時光沉澱・本真永駐,anti-aging-blend.jpg,歲月的流轉非為催人老去，而是雕琢靈魂更深邃的華彩。在一次次的轉化蛻變中，照見越發澄澈真實的真我。,,對應頂輪與心輪。乳香、夏威夷檀香木與沒藥黃金共舞，如古殿凝香拂照面容，褪去疲態，重現沉靜如月的光彩。,(待補),塗抹,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味甘微苦，入肝脾肺經。滋養肌理，撫平歲月褶痕，調和氣血。主中和修復。,10ml 滾珠,2750,3670,3670
63,快樂鼠尾草,Clary Sage,靈台空明・洞見本源・釋放執念,clary-sage.jpg,坦然接納世間隨緣而至的美意與讚許。心無罣礙之時，靈性的雙眸方能穿透雲翳，洞悉生命的深層奧秘。,眉心輪、臍輪,對應眉心輪與頂輪。草本花香溫潤微甜帶堅果底蘊，被譽為「清明之眼」，驅散身心緊繃，帶來深刻的精神頓悟。,30420302,薰香、塗抹、內服,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味苦辛平，入肝肺經。疏肝解鬱，舒緩緊張情緒，平衡氣血。主調和肝氣。,15ml,1450,1930,1930
64,野橘,Wild Orange,金陽滿園・童心歡悅・豐盛流轉,wild-orange.jpg,生命本是造物無盡的豐饒宴席。換上一身歡悅自在的心情，純粹的心念便是暢遊人間最明媚的通行證。,太陽神經叢、臍輪,對應太陽神經叢與臍輪。飽滿陽光壓榨出的甘甜果香，瞬間掃除陰沉自卑與沉重感，喚起對生活最熱切的喜愛。,30170302,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味甘溫，入脾肺經。理氣寬中，行氣開鬱，振奮陽氣。主開胃怡神。,15ml,460,615,615
65,甜茴香,Fennel-Sweet,甘香融和・真誠傾訴・順達通暢,fennel-sweet.jpg,每段關係皆是照見心性的明鏡。如實道出深藏於心的肺腑之言，無掛無礙之處，真淳之愛自然綿長流動。,太陽神經叢、喉輪,對應喉輪與太陽神經叢。甘草般甜美溫熱，鬆解腹部因壓抑未言之事累積的鬱悶，給予如實表達與消化的勇氣。,41290302,薰香、塗抹、內服,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛甘溫，入脾胃腎經。溫中散寒，理氣和胃，化解中焦滯結。主溫中理氣。,15ml,650,870,870
66,玫瑰,Rose,至高芬芳・無條件愛・撫慰眾生,rose.jpg,在施與受的無私循環中，心扉與天地的大慈大悲緊緊相連。愛是靈魂至高的歸途，照亮生命成長的每一步。,心輪,對應心輪。精油之后的高頻純美香氣，如晨露中綻放的千葉薔薇，融化一切心靈創痛，使人沉浸於深厚安詳。,60200025,薰香、塗抹,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味甘微苦溫，入肝脾心經。疏肝解鬱，活血調和，滋潤心田。主調暢氣血。,10ml 滾珠,3100,4130,4130
67,杜松漿果,Juniper Berry,幽林清嵐・化濁留清・澄明守真,juniper-berry.jpg,所有向外追尋的困惑，深處早已備妥答案。給自己一炷香的時間凝神靜坐，泉水自會清澈見底。,海底輪、臍輪,是一種強效的能量淨化者與靈性守護者，擁有乾淨、高頻且帶有森林氣息的香氣，特別適合用於排除雜念、清理情緒殘留與場域能量。,49290302,薰香、塗抹、內服,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛苦溫，入膀胱腎經。化濁留清，除舊生新。主澄澈場域氣場。,5ml,820,1095,1095
68,乳香,Frankincense,古殿神木・天人交感・靈性超脫,frankincense.jpg,屏除喧囂，靜坐於無言的幽微之中。答案自會如一縷青煙穿透頂輪，與本源至高智慧相遇，洞見真實。,眉心輪、頂輪,對應頂輪與眉心輪。精油之王千年流傳的崇高樹脂芳香，淨化場域氣場，引導意識超脫塵俗紛擾，重歸靈魂故鄉。,30070302,薰香、塗抹、內服,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味辛苦溫，入心肝肺經。活血理氣、消腫散結、安定神氣。主穩固中氣。,15ml,2850,3800,3800
69,平衡複方,Grounding Blend,扎根大地・身心安立・波平浪靜,grounding-blend.jpg,當心神於當下沉穩扎根，世間萬象皆成潤澤心靈的風景。安住於生命的軸心，無論風吹向何方，步履皆踏實自若。,,對應海底輪。雲杉、芳樟、乳香與藍艾菊深沉交融，如古樹將深根探入大地深處，為漂浮的心提供最深沉的定力。,31010302,薰香、塗抹,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味甘辛苦平，入心脾腎經。調和陰陽，定心安神，固本安身。主平衡中和。,15ml,920,1230,1230
